HSI 23388 VT EPW170728;CHHW
HSI 23800 MB EPW170629;CGKW
HSI 23800 MB EPW170830;CHMW
HSI 23888 VT ECW170728;CHFW
HSI 24000 JP EPW170830;CHEW
HSI 24400 MB ECW170629;CGJW
HSI 24400 MB EPW170728;CGSW
HSI 24600 JP ECW170629;CERW
HSI 24600 MB EPW170629;CHCW
HSI 24688 VT EPW170728;CHIW
HSI 25000 MB ECW170728;CGRW
HSI 25188 VT ECW170728;CHGW
HSI 25200 MB ECW170629;CGIW
HSI 25400 UB ECW170629;CETW
HSI 25600 JP ECW170830;CHDW
HSI 25800 MB ECW170728;CGYW
HSI 26000 UB ECW170629;CEUW
HSI 26200 MB ECW170629;CHKW
HSI 26400 MB ECW170830;CHLW
HU AN CABLE HOLDINGS LTD.;KI3 
HUAN HSIN HOLDINGS LTD;H16 
HUANENG POWER INTL ADR 10;K3FD
HUATIONG GLOBAL LIMITED;41B 
HUPSTEEL LTD;BMH 
HUTCHISON PORT HLDGS TRUST S$;P7VU
HUTCHISON PORT HOLDINGS TRUST;NS8U
HWA HONG CORPORATION LIMITED;H19 
HYFLUX 6% CUM PREF CLASS A 10;N2H 
HYFLUX LTD;600 
HYFLUX S$500M6%PERPCAPSEC;BTWZ
ICP LTD;5I4 
IEV HOLDINGS LIMITED;5TN 
IFAST CORPORATION LTD.;AIY 
IFS CAPITAL LIMITED;I49 
IHH HEALTHCARE BERHAD;Q0F 
IMPERIUM CROWN LIMITED;5HT 
INCH KENNETH KAJANG RUBBER PLC;I4R 
INDIABULLS PROPERTIES INVTRUST;BESU
INDOFOOD AGRI RESOURCES LTD.;5JS 
INFINIO GROUP LIMITED;5G4 
INFORMATICS EDUCATION LTD.;BOU 
INNOPAC HOLDINGS LIMITED;I26 
INNOPAC HOLDINGS W171110;AGAW
INNOTEK LIMITED;M14 
INTERNATIONAL PRESS SOFTCOM;571 
INTERRA RESOURCES LIMITED;5GI 
INTL HEALTHWAY CORP LIMITED;5WA 
INTRACO LIMITED;I06 
INVESTMENT BEVER BUSINESS FUND;J0T 
IPC CORPORATION LIMITED;AZA 
IPCO INT'L LIMITED;I11 
IPS SECUREX HOLDINGS LIMITED;42N 
IREIT GLOBAL;UD1U
IS MSCI INDIA 100;I98 
IS MSCI INDIA 100 S$;QK9 
ISDN HOLDINGS LIMITED;I07 
ISDN HOLDINGS LIMITED W181110;T8UW
ISEC HEALTHCARE LTD.;40T 
ISETAN (SINGAPORE) LTD;I15 
ISHARES USD ASIA BOND ETF;N6M 
ISHARES USD ASIA BOND ETF S$;QL2 
ISHARES USD ASIA HY BOND ETF;O9P 
ISHARES USD ASIA HY BOND ETFS$;QL3 
ISOTEAM LTD.;5WF 
ISR CAPITAL LIMITED;5EC 
IX BIOPHARMA LTD.;42C 
JA SOLAR ADR 10;N6AD
JACKSPEED CORPORATION LIMITED;J17 
JADASON ENTERPRISES LTD;J03 
JAPAN FOODS HOLDING LTD.;5OI 
JAPFA LTD.;UD2 
JARDINE CYCLE & CARRIAGE LTD;C07 
JARDINE MATHESON HLDGS LTD;J36 
JARDINE STRATEGIC HLDGS LTD;J37 
JASON HOLDINGS LIMITED;5I3 
JASON MARINE GROUP LIMITED;5PF 
JASPER INVESTMENTS LIMITED;FQ7 
JAYA HOLDINGS LTD;BJE 
JB FOODS LIMITED;BEW 
JEP HOLDINGS LTD.;5FA 
JEP HOLDINGS LTD.W191220;1C1W
JES INTERNATIONAL HOLDINGS LTD;EG0 
JIUTIAN CHEMICAL GROUP LIMITED;C8R 
JOYAS INTERNATIONAL HLDGS LTD;E9L 
JUBILEE INDUSTRIES HLDGS LTD.;5OS 
JUMBO GROUP LIMITED;42R 
K1 VENTURES LIMITED;BLT 
KARIN TECHNOLOGY HLDGS LIMITED;K29 
KATRINA GROUP LTD.;1A0 
KENCANA AGRI LIMITED;BNE 
KEONG HONG HOLDINGS LIMITED;5TT 
KEPCORP MB ECW170703;CCAW
KEPCORP MB ECW171002;CFEW
KEPCORP MB EPW170703;CCBW
KEPCORP MB EPW171002;CFDW
KEPPEL CORPORATION LIMITED;BN4 
KEPPEL DC REIT;AJBU
KEPPEL INFRA TRUST WEF 2015;A7RU
KEPPEL REIT;K71U
KEPPEL TELE & TRAN;K11 
KHONG GUAN LIMITED;K03 
KIMHENG OFFSHORE&MARINE HLDLTD;5G2 
KIMLY LIMITED;1D0 
KING WAN CORPORATION LIMITED;554 
KINGBOARD COPPER FOIL HDGS LTD;K14 
KINGSMEN CREATIVES LTD;5MZ 
KITCHEN CULTURE HOLDINGS LTD.;5TI 
KLW HOLDINGS LTD;504 
KLW HOLDINGS LTD W170630;40CW
KODA LTD;BJZ 
KOH BROTHERS ECO ENGG LIMITED;5HV 
KOH BROTHERS GROUP LIMITED;K75 
KOLAO HOLDINGS GDR;T9R 
KOON HOLDINGS LIMITED;5DL 
KOP LIMITED;5I1 
KORI HOLDINGS LIMITED;5VC 
KOYO INTERNATIONAL LIMITED;5OC 
KRISENERGY LTD.;SK3 
KRISENERGY LTD. W240131;CDXW
KRISENERGY S$139.464MZ240131;CDVZ
KS ENERGY LIMITED;578 
KSH HOLDINGS LIMITED;ER0 
KTL GLOBAL LIMITED;EB7 
LAFE CORPORATION LIMITED;AYB 
LANG CAPITAL FUND;ATO 
LANKOM ELECTRONICS LIMITED;L22 
LASSETERS INTL HOLDINGS LTD;5EL 
LCT HOLDINGS LIMITED;BJL 
LEADER ENVIRONMENTAL TECH LTD;LS9 
LEE METAL GROUP LTD;593 
LERENO BIO-CHEM LTD.;42H 
LEY CHOON GROUP HLDG LIMITED;Q0X 
LHN LIMITED;41O 
LHT HOLDINGS LIMITED;BEI 
LIAN BENG GROUP LTD;L03 
LIBRA GROUP LIMITED;5TR 
LIFEBRANDZ LTD.;1D3 
LINC ENERGY LTD;BRE 
LION ASIAPAC LTD;BAZ 
LIONGOLD CORP LTD;A78 
LIPPO MALLS INDO RETAIL TRUST;D5IU
LOGISTICS HOLDINGS LIMITED;5VI 
LONZA GROUP LTD;O6Z 
LORENZO INTERNATIONAL LIMITED;5IE 
LOW KENG HUAT (SINGAPORE) LTD;F1E 
LOYZ ENERGY LIMITED;594 
LTC CORPORATION LIMITED;L17 
LUM CHANG HOLDINGS LIMITED;L19 
LUNG KEE (BERMUDA) HLDGS LTD;L09 
LUXKING GROUP HOLDINGS LIMITED;BKK 
LUZHOU BIO-CHEM TECHNOLOGY LTD;L46 
LYXOR ASIA 10;P60 
LYXOR CHINA H 10;P58 
LYXOR COMMODITIES CRB FUND 10;A0W 
