5MQ;EPICENTRE HOLDINGS LIMITED    
FO8;ERATAT LIFESTYLE LIMITED      
5RC;ES GROUP (HOLDINGS) LIMITED   
E23;EUROPTRONIC GROUP LTD         
5G1;EUROSPORTS GLOBAL LIMITED     
BDF;EXCELPOINT TECHNOLOGY LTD     
5ME;EZION HOLDINGS LIMITED        
BSHW;EZION HOLDINGS W200424        
5DN;EZRA HOLDINGS LIMITED         
F10;F J BENJAMIN HOLDINGS LTD     
BFT;FABCHEM CHINA LIMITED         
5FL;FALCON ENERGY GROUP LIMITED   
5TJ;FAR EAST GROUP LIMITED        
Q5T;FAR EAST HOSPITALITY TRUST    
O10;FAR EAST ORCHARD LIMITED      
AXXZ;FCL TREA S$500M3.65%B220522   
BDU;FEDERAL INT(2000) LTD         
F12;FIBRECHEM TECHNOLOGIES LIMITED
DK2;FIBRECHEM TECHNOLOGIES NCPS   
5F4;FIGTREE HOLDINGS LIMITED      
AW9U;FIRST REAL ESTATE INV TRUST   
EB5;FIRST RESOURCES LIMITED       
D8DU;FIRST SHIP LEASE TRUST        
ADN;FIRST SPONSOR GROUP LIMITED   
BDV;FISCHER TECH LTD              
F03;FOOD EMPIRE HOLDINGS LIMITED  
B0I;FORELAND FABRICTECH HLDS LTD  
I5H;FORISE INTERNATIONAL LIMITED  
F25U;FORTUNE REAL ESTATE INV TRUST 
F31;FRAGRANCE GROUP LIMITED       
F99;FRASER AND NEAVE, LIMITED     
TQ5;FRASERS CENTREPOINT LIMITED   
J69U;FRASERS CENTREPOINT TRUST     
ND8U;FRASERS COMMERCIAL TRUST      
ACV;FRASERS HOSPITALITY TRUST     
BUOU;FRASERS LOGISTICS & IND TRUST 
BWQU;FRASERS LOGISTICS&IND TRUSTAUD
E28;FRENCKEN GROUP LIMITED        
F13;FU YU CORPORATION LTD         
508;FUJI OFFSET PLATES MFG LTD    
5KT;FUJIAN ZHENYUN PLAS IND CO LTD
BTY;FULL APEX (HOLDINGS) LIMITED  
F11;FUNG CHOI MEDIA GROUP LIMITED 
AWK;FUXING CHINA GROUP LIMITED    
G41;G. K. GOH HOLDINGS LIMITED    
5IG;GALLANT VENTURE LTD.          
RF7;GAYLIN HOLDINGS LIMITED       
41T;GCCP RESOURCES LIMITED        
5VP;GDS GLOBAL LIMITED            
S21;GENTING HONG KONG LIMITED     
G13;GENTING SINGAPORE PLC         
P9GZ;GENTING SPS$500M5.125% PERPSEC
RE4;GEO ENERGY RESOURCES LIMITED  
595;GKE CORPORATION LIMITED       
B16;GL LIMITED                    
QS9;GLOBAL INVACOM GROUP LIMITED  
B73;GLOBAL INVESTMENTS LIMITED    
MC0;GLOBAL LOGISTIC PROP LIMITED  
CH9;GLOBAL MASTERS FUND           
BLW;GLOBAL PALM RESOURCES HLGS LTD
P9J;GLOBAL PREMIUM HOTELS LIMITED 
G11;GLOBAL TECH (HLDGS) LIMITED   
AYN;GLOBAL TESTING CORPORATION LTD
AWS;GLOBAL YELLOW PAGES LIMITED   
AWUW;GLOBAL YELLOW PAGES W190625   
E5H;GOLDEN AGRI-RESOURCES LTD     
AUE;GOLDEN ENERGY AND RESOURCESLTD
5PC;GOODLAND GROUP LIMITED        
G08;GP BATTERIES INT LTD          
G20;GP INDUSTRIES LIMITED         
G50;GRAND BANKS YACHTS LIMITED    
G07;GREAT EASTERN HLDGS LTD       
Y06;GREEN BUILD TECHNOLOGY LIMITED
BLU;GRP LTD                       
CAMW;GRP LTD W171129               
43A;GS HOLDINGS LIMITED           
BDX;GSH CORPORATION LIMITED       
41F;GSS ENERGY LIMITED            
F17;GUOCOLAND LIMITED             
5VS;HAFARY HOLDINGS LIMITED       
BLH;HAI LECK HOLDINGS LIMITED     
BLJW;HAI LECK HOLDINGS W180105     
BLIW;HAI LECK HOLDINGS W190513     
5VJ;HALCYON AGRI CORPORATION LTD  
DM0;HANWELL HOLDINGS LIMITED      
U7Q;HANWHA CHEMICAL CORP GDR A    
U7R;HANWHA CHEMICAL CORP GDR R    
PH0;HATTEN LAND LIMITED           
H02;HAW PAR CORP LTD              
1B1;HC SURGICAL SPECIALISTSLIMITED
588;HEALTH MANAGEMENT INTL LTD    
5NG;HEALTHWAY MEDICAL CORP LTD    
5OR;HEATEC JIETONG HOLDINGS LTD.  
5DP;HEETON HOLDINGS LIMITED       
I85;HENGXIN TECHNOLOGY LTD.       
5PD;HENGYANG PETROCHEM LOG LIMITED
BTG;HG METAL MANUFACTURING LTD    
H17;HI-P INTERNATIONAL LIMITED    
5JK;HIAP HOE LIMITED              
510;HIAP SENG ENGINEERING LTD     
5PO;HIAP TONG CORPORATION LTD.    
AVX;HL GLOBAL ENTERPRISES LIMITED 
H27;HLH GROUP LIMITED             
H13;HO BEE LAND LIMITED           
J2T;HOCK LIAN SENG HOLDINGS LTD   
H20;HOE LEONG CORPORATION LTD.    
H30;HONG FOK CORPORATION LTD      
H22;HONG LEONG ASIA LTD.          
S41;HONG LEONG FINANCE LIMITED    
H78;HONGKONG LAND HOLDINGS LIMITED
BBP;HOR KEW CORPORATION LIMITED   
5EV;HOSEN GROUP LTD               
H18;HOTEL GRAND CENTRAL LTD       
H15;HOTEL PROPERTIES LTD          
H12;HOTEL ROYAL LTD               
BLS;HOTUNG INVESTMENT HLDGS LTD   
PU6D;HSBC ADR 10                   
CEXW;HSCEI 10000 UB EPW170629      
CEWW;HSCEI 11200 UB ECW170629      
CGLW;HSI 23000 MB EPW170629        
CEVW;HSI 23200 UB EPW170629        
CHHW;HSI 23388 VT EPW170728        
CGKW;HSI 23800 MB EPW170629        
CHMW;HSI 23800 MB EPW170830        
CHFW;HSI 23888 VT ECW170728        
CHEW;HSI 24000 JP EPW170830        
CGJW;HSI 24400 MB ECW170629        
CGSW;HSI 24400 MB EPW170728        
CERW;HSI 24600 JP ECW170629        
CHCW;HSI 24600 MB EPW170629        
CHIW;HSI 24688 VT EPW170728        
CGRW;HSI 25000 MB ECW170728        
CHGW;HSI 25188 VT ECW170728        
CGIW;HSI 25200 MB ECW170629        
CETW;HSI 25400 UB ECW170629        
CHDW;HSI 25600 JP ECW170830        
CGYW;HSI 25800 MB ECW170728        
CEUW;HSI 26000 UB ECW170629        
CHKW;HSI 26200 MB ECW170629        
CHLW;HSI 26400 MB ECW170830        
KI3;HU AN CABLE HOLDINGS LTD.     
H16;HUAN HSIN HOLDINGS LTD        
K3FD;HUANENG POWER INTL ADR 10     
41B;HUATIONG GLOBAL LIMITED       
BMH;HUPSTEEL LTD                  
P7VU;HUTCHISON PORT HLDGS TRUST S$ 
NS8U;HUTCHISON PORT HOLDINGS TRUST 
H19;HWA HONG CORPORATION LIMITED  
N2H;HYFLUX 6% CUM PREF CLASS A 10 
600;HYFLUX LTD                    
